ID,TYPE,MATERIAL,OWNER,POINT,Neighbourhood Boundaries : 2019,Roadway Maintenance Area Polygon,"Edmonton Public School Board (EPSB) Ward Boundaries (effective at 12:00 AM on Oct 16, 2017)","Edmonton Catholic School District Ward Boundaries (effective at 12:00 AM on Oct 16, 2017)","City of Edmonton - Ward Boundaries (effective at 12:00 AM on Oct 16, 2017)"
363045,Home plate,Plastic,Parks,POINT (-113.50341350943644 53.51313459650683),13,9,6,5,11
532909,Chess Table,Metal,Parks,POINT (-113.5393223034862 53.578585325624665),18,106,3,1,5
524543,Basketball Net,Metal,Parks,POINT (-113.60718467338023 53.53366871844973),31,93,5,1,1
528553,Other,Wood,Community League,POINT (-113.45297400252704 53.516523054852215),374,74,7,5,3
528554,Tetherball Pole,Metal,School Board,POINT (-113.45618821663682 53.514455194273836),374,74,7,5,3
414403,Home plate,Plastic,Parks,POINT (-113.47820693184748 53.46236846020963),115,237,9,7,3
527715,Skateboard Fixture,Metal,Parks,POINT (-113.43759587221652 53.522303231099976),266,75,7,5,11
428157,Basketball Net,Metal,Parks,POINT (-113.55594836988857 53.60755906819039),378,216,1,1,5
337669,Home plate,Plastic,Parks,POINT (-113.41870608040267 53.61134558581082),11,182,2,3,7
518030,Pitching Board,Plastic,Parks,POINT (-113.62606468643689 53.50867766175521),60,97,5,4,8
31606,Funnel ball,Unknown,School Board,POINT (-113.57762973430944 53.493466272040976),259,178,6,6,12
528395,Net Post,Metal,Parks,POINT (-113.48710818720262 53.5895845324488),38,152,1,2,10
525990,Basketball Net,Metal,Parks,POINT (-113.45042742942422 53.53075770148237),152,91,7,5,11
31994,Tetherball Pole,Metal,School Board,POINT (-113.47793289198648 53.50411170583095),272,67,7,5,3
484390,Home plate,Plastic,Parks,POINT (-113.56689591830494 53.544466854670745),29,196,3,1,9
494993,Home plate,Plastic,Parks,POINT (-113.38409364814467 53.55857872425035),195,176,4,3,10
341323,Basketball Net,Metal,Parks,POINT (-113.40067554239978 53.47585791395804),125,58,7,7,3
818967,Bike Bump Fixture,Unknown,Parks,POINT (-113.45117101959379 53.53131211239029),152,91,7,5,11
550912,Basketball Net,Unknown,School Board,POINT (-113.50059661277322 53.48402025732578),26,19,6,5,2
31897,Basketball Net,Metal,Parks,POINT (-113.55521820722036 53.56798582891674),19,209,3,1,5
